wsi,has_angiogenesis,angiogenesis_path,has_cell_cycle,cell_cycle_path,has_epithelial_mesenchymal_transition,epithelial_mesenchymal_transition_path,has_immunosuppression,immunosuppression_path,has_t_cell_mediated_cytotoxicity,t_cell_mediated_cytotoxicity_path
TCGA-E9-A22D-01A-01-TSA.1d806ebb-4c31-45ae-898e-139903e04c43,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/angiogenesis/TCGA-E9-A22D-01A-01-TSA.1d806ebb-4c31-45ae-898e-139903e04c43,0,,0,,0,,0,
TCGA-A2-A0SW-01A-01-TSA.dff06b29-6dfc-4d17-8b78-0ef50f9aa985,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/angiogenesis/TCGA-A2-A0SW-01A-01-TSA.dff06b29-6dfc-4d17-8b78-0ef50f9aa985,0,,0,,0,,0,
TCGA-BH-A0BT-01A-01-TSA.0d7af972-fe18-47c7-b863-2bb47d611f22,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/cell_cycle/TCGA-BH-A0BT-01A-01-TSA.0d7af972-fe18-47c7-b863-2bb47d611f22,0,,0,,0,
TCGA-OL-A5RX-01A-01-TSA.A2D25C2C-D7C5-4D31-8663-3345DB03780A,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/cell_cycle/TCGA-OL-A5RX-01A-01-TSA.A2D25C2C-D7C5-4D31-8663-3345DB03780A,0,,0,,0,
TCGA-AR-A255-01A-01-TSA.85414c8e-dc54-4ae2-80dd-c58db439c5c7,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/cell_cycle/TCGA-AR-A255-01A-01-TSA.85414c8e-dc54-4ae2-80dd-c58db439c5c7,0,,0,,0,
TCGA-E9-A1RB-11A-03-TSC.bdadec5d-c118-4216-87b3-894ee88bd9d0,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/cell_cycle/TCGA-E9-A1RB-11A-03-TSC.bdadec5d-c118-4216-87b3-894ee88bd9d0,0,,0,,0,
TCGA-BH-A0BT-01A-01-BSA.5024ab0b-133d-4414-803d-29a1d63df444,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/cell_cycle/TCGA-BH-A0BT-01A-01-BSA.5024ab0b-133d-4414-803d-29a1d63df444,0,,0,,0,
TCGA-BH-A0BR-01A-02-BSB.63ea0e68-49cf-4897-834b-d11519db02ec,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/cell_cycle/TCGA-BH-A0BR-01A-02-BSB.63ea0e68-49cf-4897-834b-d11519db02ec,0,,0,,0,
TCGA-GM-A4E0-01A-01-TS1.43B57619-CB29-46C6-BAEA-5064872B4EE7,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/cell_cycle/TCGA-GM-A4E0-01A-01-TS1.43B57619-CB29-46C6-BAEA-5064872B4EE7,0,,0,,0,
TCGA-BH-A0BO-01A-02-BSB.984c099a-27b1-4584-8c84-0ff358b7610e,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/cell_cycle/TCGA-BH-A0BO-01A-02-BSB.984c099a-27b1-4584-8c84-0ff358b7610e,0,,0,,0,
TCGA-E9-A1NH-01A-01-TSA.c377b9a0-f87e-419b-9b59-13809c8b5855,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/cell_cycle/TCGA-E9-A1NH-01A-01-TSA.c377b9a0-f87e-419b-9b59-13809c8b5855,0,,0,,0,
TCGA-XX-A899-01A-01-TS1.2DDFDCB0-BA90-4AFD-BF9A-A7B956B581FE,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/cell_cycle/TCGA-XX-A899-01A-01-TS1.2DDFDCB0-BA90-4AFD-BF9A-A7B956B581FE,0,,0,,0,
TCGA-BH-A0EB-01A-01-TSA.12af0d04-ac02-49b1-b2a7-67af4dce098f,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/cell_cycle/TCGA-BH-A0EB-01A-01-TSA.12af0d04-ac02-49b1-b2a7-67af4dce098f,0,,0,,0,
